Wall time,0,meta_train_loss,train_loss
1539609634,71,46.46619415,53.98785019
1539609714,72,38.62932587,43.28901672
1539609762,73,34.86606598,41.81384277
1539609810,74,29.73646736,60.37099838
1539609894,75,39.44193649,24.95847321
1539609941,76,43.13854599,49.5243454
1539609989,77,27.79938126,44.9658165
1539610069,78,22.31255913,30.01595879
1539610116,79,30.86507034,41.09938431
1539610164,80,37.08557129,56.53937912
1539610245,81,32.92448807,31.40232277
1539610293,82,26.83663177,49.17238998
1539610341,83,38.27909851,32.83510208
1539610423,84,19.88716316,28.01055908
1539610471,85,38.38685989,36.10738373
1539610526,86,33.96071243,23.44886208
1539610608,87,27.58181763,25.5281086
1539610663,88,38.0766716,25.3337326
1539610712,89,36.00662231,42.53037643
1539610791,90,21.23153114,23.42621231
1539610839,91,28.66034126,20.53907776
1539610886,92,26.09369278,20.9618206
1539610966,93,21.29789925,28.97606659
1539611014,94,26.40012741,25.94495201
1539611061,95,24.97122002,32.2393074
1539611141,96,25.9715271,17.67935562
1539611188,97,25.86707687,32.93519592
1539611236,98,35.77239227,44.78172684
1539611315,99,22.80233383,23.48601532
1539611362,100,22.64095879,16.32688141
1539611409,101,27.99674988,26.92120552
1539611489,102,22.58945274,31.26951027
1539611537,103,21.10631943,21.77325058
1539611584,104,23.45569801,26.28629875
1539611663,105,13.22867584,11.84206009
1539611711,106,20.71500015,17.30511856
1539611758,107,24.51036453,31.81489944
1539611837,108,13.58349228,24.1395092
1539611885,109,11.88755131,11.55846024
1539611932,110,21.51129532,25.03787231
1539612011,111,18.68682671,28.34158134
1539612058,112,21.81151199,16.95359421
1539612106,113,23.14616203,13.41392517
1539612185,114,11.34781837,5.821146488
1539612232,115,19.48809814,13.1937418
1539612280,116,28.47823143,12.09167004
1539612359,117,16.03897858,8.02806282
1539612407,118,14.87359524,28.13419151
1539612455,119,23.57441139,18.1208725
1539612534,120,21.34448814,7.93528986
1539612578,121,13.0469923,22.70785141
1539612622,122,19.64473534,34.68540955
1539612697,123,20.82273674,21.75860023
1539612741,124,16.20616722,16.49983978
1539612785,125,11.37944508,10.07653618
1539612860,126,18.96671104,7.852770805
1539612904,127,17.41471481,8.910989761
1539612948,128,25.45183372,22.26184082
1539613023,129,19.03181458,18.44874573
1539613067,130,10.15876865,20.53953743
1539613111,131,9.755537987,19.75582886
1539613186,132,14.28086376,13.7582531
1539613230,133,13.99870682,14.39543915
1539613275,134,22.89012337,9.701710701
1539613349,135,16.33820724,4.850090504
1539613393,136,18.63128281,6.705779076
1539613437,137,11.91985321,12.62014675
1539613512,138,7.024148464,7.059283257
1539613556,139,12.58895493,23.42361832
1539613600,140,15.83829784,19.94283676
1539613675,141,442.5937805,19.47351074
1539613720,142,385.7336426,17.51038361
1539613764,143,372.6333313,15.47741413
1539613839,144,235.8059998,12.86541653
1539613883,145,248.0054169,13.5080986
1539613928,146,261.4335327,13.54901791
1539614003,147,134.6822662,8.295698166
1539614047,148,154.6668854,8.929222107
1539614092,149,162.9642029,12.64081955
1539614167,150,80.99863434,16.43374825
1539614211,151,90.78160095,21.65847397
1539614255,152,103.677475,27.66340065
1539614330,153,48.33259964,14.49398994
1539614375,154,51.04410553,10.82541466
1539614419,155,74.50016785,22.87092972
1539614494,156,48.1669693,6.612474442
1539614539,157,62.82462311,3.054386377
1539614584,158,78.82933807,2.496360302
1539614660,159,52.41202927,0.704797208
1539614705,160,61.36762619,0.630147994
1539614750,161,72.55102539,0.514029145
1539614827,162,42.17980194,0.121964842
1539614872,163,43.00511551,0.086488724
1539614918,164,60.09400177,0.085073769
1539614995,165,31.98959351,0.050597131
1539615040,166,48.75417709,0.052192926
1539615086,167,62.90820313,0.046547294
1539615162,168,37.05978775,0.039318442
1539615208,169,60.13792419,0.040549815
1539615253,170,63.99770355,0.03826946
1539615329,171,31.17292595,0.033499777
1539615374,172,40.72919846,0.032965302
1539615419,173,61.39097977,0.03478688
1539615495,174,22.69717979,0.029383361
1539615541,175,35.06089783,0.02999872
1539615587,176,41.52456284,0.028541803
1539615663,177,28.48989105,0.028107464
1539615709,178,31.7475872,0.026095688
1539615754,179,38.57064438,0.024740219
1539615830,180,31.13898849,0.025170326
1539615875,181,27.19069481,0.024368167
1539615920,182,41.8042717,0.021792352
1539615996,183,23.06996346,0.022323549
1539616040,184,23.90210724,0.021690607
1539616086,185,27.90908623,0.021321654
1539616163,186,23.01603699,0.019884884
1539616208,187,24.97541809,0.019456923
1539616254,188,30.56950951,0.020865202
1539616331,189,20.28022194,0.018666804
1539616377,190,37.95804977,0.018066823
1539616422,191,32.393013,0.019200325
1539616493,192,14.72336578,0.017232656
1539616534,193,19.46209145,0.017901123
1539616576,194,27.34643555,0.017157674
1539616647,195,22.25112152,0.016487956
1539616689,196,23.79106522,0.016879797
1539616731,197,33.65577698,0.016072631
1539616801,198,16.66520882,0.01513958
1539616843,199,15.16834736,0.015778363
1539616885,200,21.31525421,0.015506864
1539616954,201,11.56237602,0.0152812
1539616996,202,16.60853004,0.013487637
1539617037,203,20.30532074,0.014732122
1539617108,204,14.98973465,0.014099836
1539617148,205,18.6355896,0.012939751
1539617190,206,25.32468414,0.014297724
1539617259,207,13.07822037,0.01331687
1539617301,208,15.71229935,0.013379455
1539617342,209,20.26351738,0.012741387
