Wall time,Step,meta_train_loss,train_loss
1539488590,113,209.5594482,424.1785889
1539488624,114,161.9784088,322.821106
1539488645,115,199.1664581,388.0166321
1539488665,116,201.2645569,407.6883545
1539488699,117,150.3814545,321.061676
1539488719,118,196.0292664,369.8948669
1539488739,119,202.4677734,398.0604858
1539488773,120,137.3386078,307.1873474
1539488793,121,181.4837341,358.3981323
1539488814,122,211.3082428,386.2894897
1539488848,123,153.9503174,290.5421448
1539488868,124,176.3585052,350.2409973
1539488888,125,198.0898895,386.1540222
1539488923,126,127.3407822,299.9605408
1539488943,127,194.6186676,323.5953979
1539488963,128,181.3740082,359.8465881
1539488997,129,149.9353943,291.1751099
1539489018,130,179.2922974,347.1885681
1539489038,131,203.2569733,362.5707397
1539489072,132,143.879776,269.6158752
1539489092,133,153.4849701,316.2476501
1539489112,134,208.019577,379.0434875
1539489146,135,148.0502167,267.8656006
1539489167,136,158.4800415,308.5817566
1539489187,137,169.2951813,363.2236328
1539489221,138,143.6940308,269.6457825
1539489241,139,150.0370789,303.9978943
1539489261,140,175.7564087,350.5460815
1539489296,141,944.0849609,254.5430908
1539489316,142,798.6324463,301.3361816
1539489336,143,798.7129517,336.1600647
1539489371,144,662.3737793,241.788147
1539489391,145,683.519165,309.9122009
1539489412,146,694.6916504,339.7061462
1539489446,147,599.2276611,256.3705444
1539489467,148,629.4813232,289.7954102
1539489487,149,645.1481323,331.3424988
1539489522,150,559.6520996,258.0888062
1539489542,151,587.125,300.9483032
1539489563,152,608.281189,336.3083191
1539489597,153,541.7696533,230.2948914
1539489617,154,542.2074585,281.7879028
1539489638,155,569.2819214,314.7265625
1539489672,156,492.6225891,242.5030212
1539489693,157,526.7971191,266.676178
1539489713,158,562.1255493,306.487793
1539489748,159,480.2061157,222.9026184
1539489768,160,508.568634,280.2556152
1539489789,161,524.1810913,305.0014038
1539489823,162,447.4394531,232.1801758
1539489844,163,487.5153809,254.6158752
1539489864,164,509.1390686,309.2817688
1539489898,165,438.3951111,223.1964569
1539489919,166,467.79245,273.7919617
1539489939,167,491.7824707,319.975708
1539489974,168,406.2754211,235.8143616
1539489994,169,437.2527161,254.057663
1539490015,170,483.1392212,283.2502441
1539490049,171,400.1565247,204.9706573
1539490069,172,431.1461487,250.7239227
1539490090,173,454.8963623,280.4327393
1539490124,174,370.4637146,208.2668152
1539490145,175,416.0285034,237.4853668
1539490165,176,452.1937866,313.5722046
1539490200,177,369.8961182,209.4914246
1539490220,178,389.5823059,240.9287567
1539490241,179,431.202179,278.9638672
1539490275,180,355.3944702,198.1549377
1539490295,181,388.6149292,264.1705322
1539490316,182,420.7501526,261.6326599
1539490350,183,339.5224304,203.7263031
1539490371,184,369.7027588,237.5883636
1539490391,185,412.2253723,266.3130798
1539490425,186,315.7619019,193.3019714
1539490446,187,360.9538879,230.9898834
1539490466,188,403.8813477,287.9440002
1539490501,189,307.6748352,214.8005829
1539490521,190,357.8049927,247.225296
1539490542,191,390.7672729,266.1812744
1539490576,192,295.5246582,196.5171051
1539490597,193,359.2746887,245.1451874
1539490618,194,375.0400085,281.6087036
1539490652,195,286.0332947,187.1673889
1539490672,196,348.0801697,223.4168396
1539490692,197,373.4055786,270.9979248
1539490727,198,283.0313721,204.0051727
1539490747,199,324.7518616,234.8723907
1539490767,200,373.9552307,258.6628113
1539490802,201,262.0918274,173.6793976
1539490822,202,317.469574,226.8426971
1539490843,203,362.5403137,234.1730957
1539490877,204,267.1225281,190.2677765
1539490897,205,319.2256165,236.6713409
1539490918,206,361.1897583,250.4560852
1539490952,207,260.025238,191.0802307
1539490972,208,321.0391235,224.24646
1539490993,209,344.5631714,275.1479492
